date,transect,count
3-Nov-11,31,84.7
3-Nov-11,33,26.7
3-Nov-11,35,57.0
3-Nov-11,37,57.3
3-Nov-11,39,37.3
3-Nov-11,41,5.2
3-Nov-11,43,2.5
3-Nov-11,45,23.0
3-Nov-11,47,12.5
3-Nov-11,49,1.0
3-Nov-11,51,21.5
3-Nov-11,53,22.7
3-Nov-11,55,12.0
17-Nov-11,1,6.5
17-Nov-11,3,11.0
17-Nov-11,5,15.3
17-Nov-11,7,54.0
17-Nov-11,11,13.5
17-Nov-11,13,26.7
17-Nov-11,15,21.6
17-Nov-11,17,12.7
17-Nov-11,19,22.7
17-Nov-11,21,26.5
17-Nov-11,23,20.8
17-Nov-11,25,7.0
17-Nov-11,27,5.6
17-Nov-11,29,2.4
17-Nov-11,31,10.0
17-Nov-11,33,24.0
17-Nov-11,35,20.0
17-Nov-11,37,58.7
17-Nov-11,39,44.0
17-Nov-11,41,2.0
17-Nov-11,43,19.0
17-Nov-11,45,12.0
17-Nov-11,47,14.5
17-Nov-11,49,22.0
17-Nov-11,51,43.0
17-Nov-11,53,6.7
17-Nov-11,55,8.0
23-Nov-11,3,46.0
23-Nov-11,5,44.7
23-Nov-11,7,52.0
23-Nov-11,11,98.0
23-Nov-11,13,91.3
23-Nov-11,15,67.2
23-Nov-11,17,40.0
23-Nov-11,19,32.7
23-Nov-11,21,20.5
28-Nov-11,1,105.1
28-Nov-11,5,131.3
28-Nov-11,7,85.0
28-Nov-11,11,108.0
28-Nov-11,13,77.0
28-Nov-11,15,28.5
28-Nov-11,17,51.3
28-Nov-11,19,30.0
28-Nov-11,21,32.0
28-Nov-11,23,50.5
28-Nov-11,25,118.0
28-Nov-11,27,91.2
28-Nov-11,29,54.4
29-Nov-11,31,48.0
29-Nov-11,33,121.3
29-Nov-11,35,168.0
29-Nov-11,37,173.3
29-Nov-11,39,114.0
29-Nov-11,41,13.3
29-Nov-11,43,14.0
29-Nov-11,45,18.7
29-Nov-11,47,27.3
29-Nov-11,49,87.0
29-Nov-11,51,78.0
29-Nov-11,53,48.7
29-Nov-11,55,23.3
16-Dec-11,1,47.0
16-Dec-11,3,53.3
16-Dec-11,5,46.7
16-Dec-11,7,48.0
16-Dec-11,11,65.3
16-Dec-11,13,56.0
16-Dec-11,15,39.5
16-Dec-11,17,50.0
16-Dec-11,19,26.7
16-Dec-11,21,48.0
16-Dec-11,23,14.7
16-Dec-11,25,15.3
16-Dec-11,27,42.0
16-Dec-11,29,42.0
16-Dec-11,31,48.0
16-Dec-11,33,16.0
16-Dec-11,35,45.3
16-Dec-11,37,245.3
16-Dec-11,39,73.0
16-Dec-11,41,10.7
16-Dec-11,43,12.0
16-Dec-11,45,15.3
16-Dec-11,47,12.0
16-Dec-11,49,105.0
16-Dec-11,51,15.0
16-Dec-11,53,47.3
16-Dec-11,55,8.0
4-Jan-12,1,57.0
4-Jan-12,3,56.7
4-Jan-12,5,46.7
4-Jan-12,7,69.0
4-Jan-12,11,116.0
4-Jan-12,13,62.0
4-Jan-12,15,31.5
4-Jan-12,17,
4-Jan-12,19,18.7
4-Jan-12,21,15.3
4-Jan-12,23,2.7
4-Jan-12,25,11.3
4-Jan-12,27,1.3
4-Jan-12,29,4.6
4-Jan-12,31,16.0
4-Jan-12,33,28.0
4-Jan-12,35,61.3
4-Jan-12,37,96.0
4-Jan-12,39,24.0
4-Jan-12,41,27.3
4-Jan-12,43,3.3
4-Jan-12,45,42.7
4-Jan-12,47,5.3
4-Jan-12,49,20.0
4-Jan-12,51,80.8
4-Jan-12,53,6.7
4-Jan-12,55,4.6
18-Jan-12,1,58.0
18-Jan-12,3,61.6
18-Jan-12,5,54.7
18-Jan-12,7,78.0
18-Jan-12,11,100.0
18-Jan-12,13,117.0
18-Jan-12,15,62.0
18-Jan-12,23,16.0
18-Jan-12,25,4.0
18-Jan-12,27,2.9
18-Jan-12,29,1.7
18-Jan-12,31,10.0
18-Jan-12,33,28.0
18-Jan-12,35,60.0
18-Jan-12,37,322.0
18-Jan-12,39,27.0
18-Jan-12,41,16.0
18-Jan-12,43,7.4
18-Jan-12,45,9.3
18-Jan-12,47,10.3
18-Jan-12,49,146.7
18-Jan-12,51,48.0
18-Jan-12,53,70.0
18-Jan-12,55,13.7
14-Feb-12,1,79.0
14-Feb-12,3,88.0
14-Feb-12,5,62.7
14-Feb-12,7,37.0
14-Feb-12,11,98.7
14-Feb-12,13,139.0
14-Feb-12,15,84.7
14-Feb-12,17,53.3
14-Feb-12,19,50.7
14-Feb-12,21,50.0
14-Feb-12,23,92.6
14-Feb-12,25,134.9
14-Feb-12,27,107.4
14-Feb-12,29,117.7
6-Mar-12,23,12.7
6-Mar-12,25,15.3
6-Mar-12,27,10.7
6-Mar-12,29,18.7
6-Mar-12,31,54.4
6-Mar-12,33,54.7
6-Mar-12,35,48.0
6-Mar-12,37,202.0
6-Mar-12,39,9.0
6-Mar-12,41,10.7
6-Mar-12,43,17.1
6-Mar-12,45,88.0
6-Mar-12,47,123.4
6-Mar-12,49,153.3
6-Mar-12,51,28.0
6-Mar-12,53,29.6
6-Mar-12,55,17.1
7-Mar-12,3,19.0
7-Mar-12,5,24.0
7-Mar-12,7,20.0
7-Mar-12,11,42.7
7-Mar-12,13,100.0
7-Mar-12,15,36.8
7-Mar-12,19,22.7
11-Apr-12,23,44.7
11-Apr-12,25,39.3
11-Apr-12,27,33.3
11-Apr-12,29,26.7
11-Apr-12,31,80.8
11-Apr-12,33,102.7
11-Apr-12,35,112.0
11-Apr-12,37,54.0
11-Apr-12,39,106.0
11-Apr-12,41,40.0
11-Apr-12,43,41.1
11-Apr-12,45,52.0
11-Apr-12,47,49.0
11-Apr-12,49,60.0
11-Apr-12,51,41.0
11-Apr-12,53,42.4
11-Apr-12,55,48.0
25-Apr-12,1,59.0
25-Apr-12,3,58.0
25-Apr-12,5,73.3
25-Apr-12,7,66.0
25-Apr-12,11,74.7
25-Apr-12,13,65.3
25-Apr-12,15,50.4
25-Apr-12,17,56.0
25-Apr-12,19,44.0
25-Apr-12,21,47.3
25-Apr-12,31,124.0
25-Apr-12,33,148.0
25-Apr-12,35,113.3
25-Apr-12,37,68.0
25-Apr-12,39,85.0
25-Apr-12,41,39.3
25-Apr-12,43,48.0
25-Apr-12,45,66.0
25-Apr-12,47,48.0
25-Apr-12,49,58.0
25-Apr-12,51,50.0
25-Apr-12,53,48.8
25-Apr-12,55,44.6
9-May-12,1,13.0
9-May-12,3,24.0
9-May-12,5,34.7
9-May-12,7,24.0
9-May-12,11,9.3
9-May-12,13,30.7
9-May-12,15,34.4
9-May-12,17,17.3
9-May-12,19,35.3
9-May-12,21,32.7
9-May-12,23,16.0
9-May-12,25,23.3
9-May-12,27,32.7
9-May-12,29,35.3
9-May-12,31,11.0
9-May-12,33,14.7
9-May-12,35,98.7
9-May-12,37,18.0
9-May-12,39,19.0
9-May-12,41,14.7
9-May-12,43,18.0
9-May-12,45,25.3
9-May-12,47,13.0
9-May-12,49,36.0
9-May-12,51,21.0
9-May-12,53,18.4
9-May-12,55,16.0
23-May-12,1,35.0
23-May-12,3,39.0
23-May-12,5,42.7
23-May-12,7,42.0
23-May-12,11,34.0
23-May-12,13,41.3
23-May-12,15,22.4
23-May-12,17,52.0
23-May-12,19,46.0
23-May-12,21,46.7
24-May-12,23,49.3
24-May-12,25,43.3
24-May-12,27,21.3
24-May-12,29,27.3
24-May-12,31,62.0
24-May-12,33,49.3
24-May-12,35,40.0
24-May-12,37,48.0
24-May-12,39,33.0
24-May-12,41,19.3
24-May-12,43,25.3
24-May-12,45,19.3
24-May-12,47,19.0
24-May-12,49,52.0
24-May-12,51,29.0
24-May-12,53,13.6
24-May-12,55,20.7
6-Jun-12,1,24.0
6-Jun-12,3,29.0
6-Jun-12,5,26.7
6-Jun-12,7,22.0
6-Jun-12,11,19.0
6-Jun-12,13,28.0
6-Jun-12,15,27.2
6-Jun-12,17,19.3
6-Jun-12,19,22.7
6-Jun-12,21,56.0
6-Jun-12,23,30.0
6-Jun-12,25,23.3
6-Jun-12,27,21.3
6-Jun-12,29,6.7
6-Jun-12,31,68.0
6-Jun-12,33,66.7
6-Jun-12,35,70.7
6-Jun-12,37,46.0
6-Jun-12,39,37.0
6-Jun-12,41,22.7
6-Jun-12,43,21.3
6-Jun-12,45,32.7
6-Jun-12,47,30.0
6-Jun-12,49,70.0
6-Jun-12,51,32.0
6-Jun-12,53,18.4
6-Jun-12,55,14.7
20-Jun-12,1,22.0
20-Jun-12,3,38.0
20-Jun-12,5,21.3
20-Jun-12,7,40.0
20-Jun-12,11,2.0
20-Jun-12,13,37.3
20-Jun-12,15,8.0
20-Jun-12,17,21.3
20-Jun-12,19,4.7
20-Jun-12,21,28.7
20-Jun-12,23,0.7
20-Jun-12,25,28.0
20-Jun-12,27,0.7
20-Jun-12,29,38.7
20-Jun-12,31,67.0
20-Jun-12,33,60.0
20-Jun-12,35,21.3
20-Jun-12,37,50.0
20-Jun-12,39,20.0
20-Jun-12,41,34.7
20-Jun-12,43,5.3
20-Jun-12,45,37.3
20-Jun-12,47,37.0
20-Jun-12,49,34.0
20-Jun-12,51,19.0
20-Jun-12,53,23.2
20-Jun-12,55,23.3
4-Jul-12,1,56.0
4-Jul-12,3,143.0
4-Jul-12,5,61.3
4-Jul-12,7,153.0
4-Jul-12,11,4.8
4-Jul-12,13,105.3
4-Jul-12,15,29.3
4-Jul-12,17,62.7
4-Jul-12,19,48.0
4-Jul-12,21,86.7
5-Jul-12,23,92.0
5-Jul-12,25,49.3
5-Jul-12,27,18.3
5-Jul-12,29,20.0
5-Jul-12,31,61.0
5-Jul-12,33,69.3
5-Jul-12,35,45.3
5-Jul-12,37,118.0
5-Jul-12,39,23.0
5-Jul-12,41,33.3
5-Jul-12,43,30.3
5-Jul-12,45,32.0
5-Jul-12,47,41.0
5-Jul-12,49,44.0
5-Jul-12,51,9.0
5-Jul-12,53,28.8
5-Jul-12,55,12.0
18-Jul-12,1,23.0
18-Jul-12,3,18.7
18-Jul-12,5,26.7
18-Jul-12,7,14.0
18-Jul-12,11,14.7
18-Jul-12,13,9.3
18-Jul-12,15,22.7
18-Jul-12,17,28.8
18-Jul-12,19,26.0
18-Jul-12,21,24.0
19-Jul-12,23,14.7
19-Jul-12,25,18.0
19-Jul-12,27,21.1
19-Jul-12,29,28.7
19-Jul-12,31,16.0
19-Jul-12,33,193.3
19-Jul-12,35,62.7
19-Jul-12,37,24.0
19-Jul-12,39,9.0
19-Jul-12,41,13.3
19-Jul-12,43,12.0
19-Jul-12,45,17.3
19-Jul-12,47,17.0
19-Jul-12,49,16.0
19-Jul-12,51,8.8
19-Jul-12,53,13.6
19-Jul-12,55,12.6
1-Aug-12,1,28.0
1-Aug-12,3,14.0
1-Aug-12,5,34.7
1-Aug-12,7,14.7
1-Aug-12,11,9.0
1-Aug-12,13,12.0
1-Aug-12,15,9.3
1-Aug-12,17,15.2
1-Aug-12,19,11.3
1-Aug-12,21,8.8
1-Aug-12,23,18.7
1-Aug-12,25,7.3
1-Aug-12,27,5.7
1-Aug-12,29,11.3
1-Aug-12,31,64.0
1-Aug-12,33,84.0
1-Aug-12,35,77.3
1-Aug-12,37,41.3
1-Aug-12,39,12.0
1-Aug-12,41,18.0
1-Aug-12,43,15.4
1-Aug-12,45,17.3
1-Aug-12,47,12.0
1-Aug-12,49,17.3
1-Aug-12,51,7.3
1-Aug-12,53,9.6
1-Aug-12,55,18.3
14-Aug-12,1,4.0
14-Aug-12,3,4.8
14-Aug-12,5,5.3
14-Aug-12,7,10.7
14-Aug-12,11,6.0
14-Aug-12,13,9.6
14-Aug-12,15,14.0
14-Aug-12,17,15.2
14-Aug-12,19,23.3
14-Aug-12,21,16.8
14-Aug-12,23,8.7
14-Aug-12,25,9.3
14-Aug-12,27,8.5
14-Aug-12,29,6.7
14-Aug-12,31,52.0
14-Aug-12,33,210.0
14-Aug-12,35,141.3
14-Aug-12,37,92.0
14-Aug-12,39,16.0
14-Aug-12,41,14.7
14-Aug-12,43,7.4
14-Aug-12,45,7.3
14-Aug-12,47,21.6
14-Aug-12,49,53.0
14-Aug-12,51,13.7
14-Aug-12,53,6.0
14-Aug-12,55,17.7
29-Aug-12,1,10.0
29-Aug-12,3,8.7
29-Aug-12,5,6.4
29-Aug-12,7,33.0
29-Aug-12,11,15.5
29-Aug-12,13,18.9
29-Aug-12,15,17.7
29-Aug-12,17,14.0
29-Aug-12,19,20.7
29-Aug-12,21,24.7
31-Aug-12,23,7.0
31-Aug-12,25,28.0
31-Aug-12,27,23.1
31-Aug-12,29,6.0
31-Aug-12,39,140.0
31-Aug-12,41,8.0
31-Aug-12,43,2.0
31-Aug-12,45,9.5
31-Aug-12,47,10.0
31-Aug-12,49,25.0
31-Aug-12,51,28.6
31-Aug-12,53,6.5
31-Aug-12,55,114.3
12-Sep-12,1,10.5
12-Sep-12,3,18.5
12-Sep-12,5,22.3
12-Sep-12,7,26.0
12-Sep-12,11,21.0
12-Sep-12,13,33.1
12-Sep-12,15,45.1
12-Sep-12,17,37.1
12-Sep-12,19,32.6
12-Sep-12,21,24.0
12-Sep-12,23,0.4
12-Sep-12,25,1.7
12-Sep-12,27,7.6
12-Sep-12,29,4.9
12-Sep-12,39,61.3
12-Sep-12,41,8.5
12-Sep-12,43,2.0
12-Sep-12,45,4.0
12-Sep-12,47,2.0
12-Sep-12,49,14.4
12-Sep-12,51,107.4
12-Sep-12,53,27.1
12-Sep-12,55,18.0
27-Sep-12,1,0.0
27-Sep-12,3,0.0
27-Sep-12,5,0.0
27-Sep-12,7,0.0
27-Sep-12,11,3.0
27-Sep-12,13,0.6
27-Sep-12,15,0.0
27-Sep-12,19,0.0
27-Sep-12,21,0.0
27-Sep-12,23,14.8
27-Sep-12,25,9.3
27-Sep-12,27,7.2
27-Sep-12,29,1.6
27-Sep-12,31,54.4
27-Sep-12,33,188.0
27-Sep-12,35,76.0
27-Sep-12,37,57.3
27-Sep-12,39,92.0
27-Sep-12,41,14.0
27-Sep-12,43,9.6
27-Sep-12,45,12.0
27-Sep-12,47,21.6
27-Sep-12,49,27.3
27-Sep-12,51,23.3
27-Sep-12,53,10.7
27-Sep-12,55,10.0
9-Oct-12,1,4.4
9-Oct-12,3,12.5
9-Oct-12,5,27.4
9-Oct-12,7,1.5
9-Oct-12,11,20.0
9-Oct-12,13,23.4
9-Oct-12,15,25.7
9-Oct-12,17,26.3
9-Oct-12,19,30.3
9-Oct-12,21,2.3
10-Oct-12,23,21.6
10-Oct-12,25,13.2
10-Oct-12,27,4.4
10-Oct-12,29,12.0
10-Oct-12,31,43.2
10-Oct-12,33,28.0
10-Oct-12,35,70.0
10-Oct-12,37,65.3
10-Oct-12,39,97.3
10-Oct-12,41,34.2
10-Oct-12,43,2.4
10-Oct-12,45,5.2
10-Oct-12,47,5.6
10-Oct-12,49,94.0
10-Oct-12,51,30.0
10-Oct-12,53,16.0
10-Oct-12,55,17.7
25-Oct-12,1,14.80
25-Oct-12,3,13.00
25-Oct-12,5,9.14
25-Oct-12,7,22.22
25-Oct-12,11,30.00
25-Oct-12,13,29.14
25-Oct-12,15,33.71
25-Oct-12,17,25.71
25-Oct-12,19,24.00
25-Oct-12,21,26.50
23-Oct-12,23,1.60
23-Oct-12,25,3.20
23-Oct-12,27,5.09
23-Oct-12,29,4.00
23-Oct-12,31,5.60
23-Oct-12,33,8.00
23-Oct-12,35,42.00
23-Oct-12,37,96.00
23-Oct-12,39,109.33
23-Oct-12,41,41.33
23-Oct-12,43,21.09
23-Oct-12,45,16.73
23-Oct-12,47,56.00
23-Oct-12,49,55.20
23-Oct-12,51,64.00
23-Oct-12,53,101.33
23-Oct-12,55,85.14
7-Nov-12,1,12.40
7-Nov-12,3,14.00
7-Nov-12,5,22.50
7-Nov-12,7,29.78
7-Nov-12,11,27.00
7-Nov-12,13,25.71
7-Nov-12,15,68.00
7-Nov-12,17,26.29
7-Nov-12,19,36.57
7-Nov-12,21,33.50
7-Nov-12,23,4.73
7-Nov-12,25,4.36
7-Nov-12,27,1.45
7-Nov-12,29,4.73
7-Nov-12,31,4.67
7-Nov-12,33,28.00
7-Nov-12,35,22.67
7-Nov-12,37,26.67
7-Nov-12,39,24.00
7-Nov-12,41,92.00
7-Nov-12,43,5.45
7-Nov-12,45,11.27
7-Nov-12,47,2.40
7-Nov-12,49,14.40
7-Nov-12,51,107.20
7-Nov-12,53,6.00
7-Nov-12,55,10.00
22-Nov-12,1,12.80
22-Nov-12,3,15.00
22-Nov-12,5,19.00
22-Nov-12,7,26.22
22-Nov-12,11,28.50
22-Nov-12,13,34.29
22-Nov-12,15,28.00
22-Nov-12,17,24.57
22-Nov-12,19,27.43
22-Nov-12,23,13.82
22-Nov-12,25,7.67
22-Nov-12,27,3.33
22-Nov-12,29,4.67
22-Nov-12,39,20.00
22-Nov-12,41,35.33
22-Nov-12,43,31.00
22-Nov-12,45,46.67
22-Nov-12,47,7.00
22-Nov-12,49,48.00
22-Nov-12,51,161.00
22-Nov-12,53,6.67
22-Nov-12,55,17.14
6-Dec-12,1,97.60
6-Dec-12,3,55.00
6-Dec-12,5,34.50
6-Dec-12,7,103.11
6-Dec-12,11,66.50
6-Dec-12,13,54.29
6-Dec-12,15,32.00
6-Dec-12,17,64.00
6-Dec-12,19,36.57
6-Dec-12,21,33.00
6-Dec-12,23,9.82
6-Dec-12,25,8.00
6-Dec-12,27,10.00
6-Dec-12,29,21.00
6-Dec-12,31,30.50
6-Dec-12,33,30.00
6-Dec-12,35,42.00
6-Dec-12,37,27.00
6-Dec-12,39,14.00
6-Dec-12,41,9.33
6-Dec-12,43,4.50
6-Dec-12,45,5.50
6-Dec-12,47,15.50
6-Dec-12,49,27.33
6-Dec-12,51,17.33
6-Dec-12,53,13.20
6-Dec-12,55,3.43
20-Dec-12,1,52.50
20-Dec-12,3,95.50
20-Dec-12,5,83.00
20-Dec-12,7,56.00
20-Dec-12,11,42.00
20-Dec-12,13,28.00
20-Dec-12,15,56.67
20-Dec-12,17,51.33
20-Dec-12,19,20.00
20-Dec-12,21,18.00
20-Dec-12,23,9.60
20-Dec-12,25,-
20-Dec-12,27,-
20-Dec-12,29,9.00
20-Dec-12,31,9.50
20-Dec-12,33,17.00
20-Dec-12,35,31.00
20-Dec-12,37,#VALUE!
20-Dec-12,39,22.67
20-Dec-12,41,11.33
20-Dec-12,43,11.33
20-Dec-12,45,9.20
20-Dec-12,47,#VALUE!
20-Dec-12,49,21.33
20-Dec-12,51,15.00
20-Dec-12,53,17.60
20-Dec-12,55,15.00
5-Jan-13,1,10.00
5-Jan-13,3,39.33
5-Jan-13,5,32.67
5-Jan-13,7,77.33
5-Jan-13,11,62.67
5-Jan-13,13,52.00
5-Jan-13,15,60.00
5-Jan-13,17,20.67
5-Jan-13,19,23.43
5-Jan-13,21,28.00
5-Jan-13,31,12.50
5-Jan-13,33,36.00
5-Jan-13,35,55.00
5-Jan-13,37,36.00
5-Jan-13,39,62.00
5-Jan-13,41,112.00
5-Jan-13,43,22.50
5-Jan-13,45,45.00
5-Jan-13,47,144.00
5-Jan-13,49,49.33
5-Jan-13,51,232.00
5-Jan-13,53,29.20
5-Jan-13,55,31.00
17-Jan-13,1,98.67
17-Jan-13,3,178.00
17-Jan-13,5,132.67
17-Jan-13,7,105.60
17-Jan-13,11,149.60
17-Jan-13,13,146.00
17-Jan-13,15,153.60
17-Jan-13,17,115.33
17-Jan-13,19,112.00
17-Jan-13,21,105.14
17-Jan-13,23,160.00
17-Jan-13,25,154.00
17-Jan-13,27,140.00
17-Jan-13,29,137.50
17-Jan-13,31,126.00
17-Jan-13,33,112.80
17-Jan-13,35,248.00
17-Jan-13,37,75.00
17-Jan-13,39,20.00
17-Jan-13,41,200.00
17-Jan-13,43,47.50
17-Jan-13,45,230.86
17-Jan-13,47,132.00
17-Jan-13,49,117.60
17-Jan-13,51,370.67
17-Jan-13,53,39.00
17-Jan-13,55,32.50
31-Jan-13,1,36.00
31-Jan-13,3,53.33
31-Jan-13,5,45.33
31-Jan-13,7,44.00
31-Jan-13,11,64.00
31-Jan-13,13,69.33
31-Jan-13,15,116.00
31-Jan-13,17,61.00
31-Jan-13,19,52.00
31-Jan-13,21,55.00
31-Jan-13,23,85.00
31-Jan-13,25,41.00
31-Jan-13,27,29.00
31-Jan-13,29,34.00
31-Jan-13,31,162.00
31-Jan-13,33,54.67
31-Jan-13,35,36.00
31-Jan-13,37,64.00
31-Jan-13,39,40.00
31-Jan-13,41,72.00
31-Jan-13,43,14.00
31-Jan-13,45,126.00
31-Jan-13,47,105.33
31-Jan-13,49,14.67
31-Jan-13,51,194.00
31-Jan-13,53,132.57
31-Jan-13,55,15.43
13-Feb-13,1,117.3
13-Feb-13,3,114.7
13-Feb-13,5,140.0
13-Feb-13,7,120.0
13-Feb-13,11,106.7
13-Feb-13,13,124.0
13-Feb-13,15,128.0
13-Feb-13,19,68.0
13-Feb-13,21,66.0
13-Feb-13,23,68.0
13-Feb-13,25,50.0
13-Feb-13,27,25.0
13-Feb-13,29,18.0
