Health Facility,Year,Week,Total cases
KASANE H.POST,2011,40,12
KASANE H.POST,2011,41,2
KAZUNGULA BDF H.POST,2011,41,0
KASANE PRIMARY HOSPITAL,2011,41,7
KAZUNGULA H.POST,2011,41,0
PLATEAU H.POST,2011,41,4
KAVIMBA H.POST,2011,41,4
KACHIKAU H.POST,2011,41,5
KAZUNGULA BDF H.POST,2011,42,0
KACHIKAU H.POST,2011,42,6
KAVIMBA H.POST,2011,42,0
KAZUNGULA H.POST,2011,42,4
PLATEAU H.POST,2011,42,0
KASANE H.POST,2011,42,12
KASANE PRIMARY HOSPITAL,2011,42,0
KAZUNGULA H.POST,2011,43,19
KASANE H.POST,2011,43,4
KAZUNGULA BDF H.POST,2011,43,0
KASANE PRIMARY HOSPITAL,2011,43,2
KACHIKAU H.POST,2011,43,3
PLATEAU H.POST,2011,43,0
KAVIMBA H.POST,2011,43,6
KASANE PRISON H.POST,2011,43,0
KACHIKAU H.POST,2011,44,2
KASANE H.POST,2011,44,5
PLATEAU H.POST,2011,44,0
KAZUNGULA H.POST,2011,44,6
KAVIMBA H.POST,2011,44,1
KASANE PRIMARY HOSPITAL,2011,44,7
KAZUNGULA BDF H.POST,2011,44,0
KAZUNGULA H.POST,2011,45,0
KASANE H.POST,2011,45,5
KASANE PRIMARY HOSPITAL,2011,45,15
KAVIMBA H.POST,2011,45,0
KACHIKAU H.POST,2011,45,2
PLATEAU H.POST,2011,45,0
KAZUNGULA H.POST,2011,46,7
KAVIMBA H.POST,2011,46,3
KACHIKAU H.POST,2011,46,1
KASANE PRIMARY HOSPITAL,2011,46,7
PLATEAU H.POST,2011,46,1
KASANE H.POST,2011,47,2
KAVIMBA H.POST,2011,47,0
KACHIKAU H.POST,2011,47,3
KAZUNGULA H.POST,2011,47,1
PLATEAU H.POST,2011,47,0
KASANE PRIMARY HOSPITAL,2011,47,3
KAZUNGULA BDF H.POST,2011,47,0
KASANE PRIMARY HOSPITAL,2011,48,2
KACHIKAU H.POST,2011,48,1
KAZUNGULA H.POST,2011,48,6
PLATEAU H.POST,2011,48,1
KASANE H.POST,2011,48,1
KAZUNGULA BDF H.POST,2011,48,0
KAVIMBA H.POST,2011,48,0
KASANE PRIMARY HOSPITAL,2011,49,23
PLATEAU H.POST,2011,49,4
KAVIMBA H.POST,2011,49,1
KAZUNGULA H.POST,2011,49,6
KASANE H.POST,2011,49,3
KAZUNGULA BDF H.POST,2011,49,0
KACHIKAU H.POST,2011,49,1
KAZUNGULA H.POST,2011,50,11
KASANE H.POST,2011,50,1
KACHIKAU H.POST,2011,50,6
KAVIMBA H.POST,2011,50,1
KASANE PRIMARY HOSPITAL,2011,50,3
PLATEAU H.POST,2011,50,2
KACHIKAU H.POST,2011,51,6
KAVIMBA H.POST,2011,51,0
PLATEAU H.POST,2011,51,7
KAZUNGULA BDF H.POST,2011,51,0
KASANE H.POST,2011,51,2
KASANE PRIMARY HOSPITAL,2011,51,6
KAZUNGULA H.POST,2011,51,8
KACHIKAU H.POST,2011,52,2
KASANE PRIMARY HOSPITAL,2011,52,7
KAZUNGULA H.POST,2011,52,4
KAVIMBA H.POST,2011,52,3
KAZUNGULA BDF H.POST,2011,52,0
KASANE H.POST,2011,52,1
KACHIKAU H.POST,2011,53,3
KAZUNGULA H.POST,2011,53,2
KAVIMBA H.POST,2011,53,1
KASANE PRIMARY HOSPITAL,2012,54,0
PLATEAU H.POST,2012,54,0
KAZUNGULA H.POST,2012,54,4
KAZUNGULA BDF H.POST,2012,54,0
KACHIKAU H.POST,2012,54,4
KAVIMBA H.POST,2012,54,3
KAZUNGULA BDF H.POST,2012,55,0
KAVIMBA H.POST,2012,55,4
KACHIKAU H.POST,2012,55,3
KAZUNGULA H.POST,2012,55,4
PLATEAU H.POST,2012,55,1
KASANE H.POST,2012,55,3
KASANE PRIMARY HOSPITAL,2012,55,7
PLATEAU H.POST,2012,56,4
KASANE PRIMARY HOSPITAL,2012,56,1
KAVIMBA H.POST,2012,56,1
KAZUNGULA H.POST,2012,56,10
KAZUNGULA BDF H.POST,2012,56,0
KASANE H.POST,2012,56,5
KACHIKAU H.POST,2012,56,2
KASANE PRIMARY HOSPITAL,2012,57,5
KACHIKAU H.POST,2012,57,3
KAVIMBA H.POST,2012,57,0
PLATEAU H.POST,2012,57,0
KAZUNGULA H.POST,2012,57,1
KASANE H.POST,2012,57,1
KAZUNGULA BDF H.POST,2012,57,0
KAZUNGULA BDF H.POST,2012,58,0
KACHIKAU H.POST,2012,58,2
KAVIMBA H.POST,2012,58,0
KASANE H.POST,2012,58,4
KASANE PRIMARY HOSPITAL,2012,58,7
PLATEAU H.POST,2012,58,0
KASANE H.POST,2012,59,9
KAZUNGULA BDF H.POST,2012,59,0
PLATEAU H.POST,2012,59,4
KAVIMBA H.POST,2012,59,2
KACHIKAU H.POST,2012,59,2
KASANE PRIMARY HOSPITAL,2012,59,2
KASANE PRIMARY HOSPITAL,2012,60,7
KAZUNGULA BDF H.POST,2012,60,0
KACHIKAU H.POST,2012,60,3
KAVIMBA H.POST,2012,60,2
KAZUNGULA H.POST,2012,60,7
PLATEAU H.POST,2012,60,5
KASANE H.POST,2012,60,3
KASANE PRIMARY HOSPITAL,2012,61,14
KAVIMBA H.POST,2012,61,0
KAZUNGULA BDF H.POST,2012,61,0
KAZUNGULA H.POST,2012,61,1
KACHIKAU H.POST,2012,61,6
KASANE H.POST,2012,61,9
PLATEAU H.POST,2012,61,13
KASANE PRIMARY HOSPITAL,2012,62,9
KACHIKAU H.POST,2012,62,4
KAVIMBA H.POST,2012,62,0
KAZUNGULA H.POST,2012,62,5
PLATEAU H.POST,2012,62,0
KASANE H.POST,2012,62,2
KAZUNGULA BDF H.POST,2012,62,0
KAZUNGULA H.POST,2012,63,0
KASANE PRIMARY HOSPITAL,2012,63,13
KAZUNGULA BDF H.POST,2012,63,0
PLATEAU H.POST,2012,63,3
KACHIKAU H.POST,2012,63,0
KAVIMBA H.POST,2012,63,0
KASANE H.POST,2012,63,12
KASANE PRISON H.POST,2012,63,0
KAZUNGULA H.POST,2012,64,1
KAZUNGULA BDF H.POST,2012,64,0
KASANE H.POST,2012,64,6
KASANE PRISON H.POST,2012,64,0
KACHIKAU H.POST,2012,64,4
KAVIMBA H.POST,2012,64,1
KASANE PRIMARY HOSPITAL,2012,64,3
KASANE PRISON H.POST,2012,65,0
KASANE PRIMARY HOSPITAL,2012,65,20
KASANE H.POST,2012,65,4
KAZUNGULA BDF H.POST,2012,65,0
KAVIMBA H.POST,2012,65,0
KACHIKAU H.POST,2012,65,7
KAZUNGULA H.POST,2012,65,3
PLATEAU H.POST,2012,65,0
KACHIKAU H.POST,2012,66,5
KASANE PRIMARY HOSPITAL,2012,66,15
KAZUNGULA BDF H.POST,2012,66,0
KAZUNGULA H.POST,2012,66,5
KASANE H.POST,2012,66,6
KAVIMBA H.POST,2012,66,0
PLATEAU H.POST,2012,66,3
PLATEAU H.POST,2012,67,7
KASANE H.POST,2012,67,4
KASANE PRIMARY HOSPITAL,2012,67,15
KACHIKAU H.POST,2012,67,1
KAVIMBA H.POST,2012,67,2
KAZUNGULA H.POST,2012,67,7
KAZUNGULA BDF H.POST,2012,67,0
KAZUNGULA H.POST,2012,68,6
KASANE H.POST,2012,68,3
PLATEAU H.POST,2012,68,4
KAVIMBA H.POST,2012,68,0
KACHIKAU H.POST,2012,68,2
KASANE PRIMARY HOSPITAL,2012,68,8
KASANE PRIMARY HOSPITAL,2012,69,11
KAVIMBA H.POST,2012,69,0
KACHIKAU H.POST,2012,69,0
KASANE H.POST,2012,69,2
KAZUNGULA H.POST,2012,69,8
PLATEAU H.POST,2012,69,4
KASANE PRIMARY HOSPITAL,2012,70,0
KACHIKAU H.POST,2012,70,9
KAZUNGULA H.POST,2012,70,3
KAZUNGULA BDF H.POST,2012,70,0
KASANE H.POST,2012,70,2
KAVIMBA H.POST,2012,70,2
PLATEAU H.POST,2012,70,8
PLATEAU H.POST,2012,71,8
KASANE H.POST,2012,71,0
KAZUNGULA BDF H.POST,2012,71,0
KAZUNGULA H.POST,2012,71,7
KAVIMBA H.POST,2012,71,0
KACHIKAU H.POST,2012,71,2
KASANE PRIMARY HOSPITAL,2012,71,8
KAZUNGULA BDF H.POST,2012,72,0
KAZUNGULA H.POST,2012,72,3
KASANE PRIMARY HOSPITAL,2012,72,10
PLATEAU H.POST,2012,72,0
KASANE H.POST,2012,72,4
KACHIKAU H.POST,2012,72,3
KAVIMBA H.POST,2012,72,0
PLATEAU H.POST,2012,73,4
KASANE PRIMARY HOSPITAL,2012,73,2
KAZUNGULA BDF H.POST,2012,73,0
KAVIMBA H.POST,2012,73,2
KAZUNGULA H.POST,2012,73,6
KASANE H.POST,2012,73,10
KACHIKAU H.POST,2012,73,2
KASANE PRIMARY HOSPITAL,2012,74,0
KAZUNGULA H.POST,2012,74,3
KACHIKAU H.POST,2012,74,1
KAVIMBA H.POST,2012,74,1
KASANE H.POST,2012,74,10
KAZUNGULA BDF H.POST,2012,74,0
PLATEAU H.POST,2012,74,0
KASANE PRIMARY HOSPITAL,2012,75,3
KAZUNGULA BDF H.POST,2012,75,0
KAZUNGULA H.POST,2012,75,0
KASANE H.POST,2012,75,3
KAVIMBA H.POST,2012,75,0
KACHIKAU H.POST,2012,75,2
PLATEAU H.POST,2012,75,6
KASANE PRISON H.POST,2012,76,0
KACHIKAU H.POST,2012,76,3
KAVIMBA H.POST,2012,76,2
PLATEAU H.POST,2012,76,2
KASANE PRIMARY HOSPITAL,2012,76,0
KASANE H.POST,2012,76,1
KAZUNGULA H.POST,2012,76,2
KAZUNGULA BDF H.POST,2012,77,0
KAVIMBA H.POST,2012,77,3
KAZUNGULA H.POST,2012,77,2
KASANE H.POST,2012,77,4
PLATEAU H.POST,2012,77,0
KACHIKAU H.POST,2012,77,3
KASANE PRIMARY HOSPITAL,2012,77,1
KASANE H.POST,2012,78,2
KAZUNGULA BDF H.POST,2012,78,0
KAVIMBA H.POST,2012,78,2
KACHIKAU H.POST,2012,78,6
KAZUNGULA H.POST,2012,78,1
PLATEAU H.POST,2012,78,2
KASANE PRISON H.POST,2012,78,0
KASANE PRIMARY HOSPITAL,2012,78,0
KAZUNGULA BDF H.POST,2012,79,0
KACHIKAU H.POST,2012,79,13
KAVIMBA H.POST,2012,79,1
KASANE H.POST,2012,79,9
KAZUNGULA H.POST,2012,79,4
KASANE PRIMARY HOSPITAL,2012,79,7
KASANE PRISON H.POST,2012,79,0
KASANE PRIMARY HOSPITAL,2012,80,5
PLATEAU H.POST,2012,80,8
KAZUNGULA BDF H.POST,2012,80,0
KASANE H.POST,2012,80,11
KAZUNGULA H.POST,2012,80,10
KAVIMBA H.POST,2012,80,5
KACHIKAU H.POST,2012,80,4
KAZUNGULA BDF H.POST,2012,81,0
KAVIMBA H.POST,2012,81,2
KACHIKAU H.POST,2012,81,0
KAZUNGULA H.POST,2012,81,9
KASANE H.POST,2012,81,6
KASANE PRIMARY HOSPITAL,2012,81,20
PLATEAU H.POST,2012,81,4
KASANE PRIMARY HOSPITAL,2012,82,28
PLATEAU H.POST,2012,82,0
KAZUNGULA BDF H.POST,2012,82,0
KASANE H.POST,2012,82,7
KAVIMBA H.POST,2012,82,1
KAZUNGULA H.POST,2012,82,8
KASANE PRIMARY HOSPITAL,2012,83,15
KACHIKAU H.POST,2012,83,6
KASANE H.POST,2012,83,5
KAVIMBA H.POST,2012,83,6
KAZUNGULA BDF H.POST,2012,83,0
KAZUNGULA H.POST,2012,83,10
KAZUNGULA H.POST,2012,84,3
KACHIKAU H.POST,2012,84,9
KASANE H.POST,2012,84,2
KAVIMBA H.POST,2012,84,5
KASANE PRIMARY HOSPITAL,2012,84,23
KAZUNGULA BDF H.POST,2012,84,1
PLATEAU H.POST,2012,84,0
KAZUNGULA H.POST,2012,85,10
KASANE H.POST,2012,85,7
PLATEAU H.POST,2012,85,8
KACHIKAU H.POST,2012,85,1
KAVIMBA H.POST,2012,85,0
KASANE PRIMARY HOSPITAL,2012,85,19
KAVIMBA H.POST,2012,86,3
KASANE H.POST,2012,86,5
PLATEAU H.POST,2012,86,3
KACHIKAU H.POST,2012,86,3
KAZUNGULA BDF H.POST,2012,86,1
KAZUNGULA H.POST,2012,86,10
KASANE PRIMARY HOSPITAL,2012,86,16
KASANE PRIMARY HOSPITAL,2012,87,0
KACHIKAU H.POST,2012,87,4
KAVIMBA H.POST,2012,87,0
PLATEAU H.POST,2012,87,0
KAZUNGULA H.POST,2012,87,2
KAZUNGULA BDF H.POST,2012,87,0
KAZUNGULA H.POST,2012,88,4
KASANE PRIMARY HOSPITAL,2012,88,14
PLATEAU H.POST,2012,88,0
KAVIMBA H.POST,2012,88,0
KACHIKAU H.POST,2012,88,0
KAZUNGULA BDF H.POST,2012,88,0
PLATEAU H.POST,2012,89,0
KAVIMBA H.POST,2012,89,2
KACHIKAU H.POST,2012,89,2
KAZUNGULA BDF H.POST,2012,89,0
KAZUNGULA H.POST,2012,89,1
KASANE H.POST,2012,89,17
KASANE PRIMARY HOSPITAL,2012,89,11
KAZUNGULA BDF H.POST,2012,90,0
KAZUNGULA H.POST,2012,90,2
KASANE PRIMARY HOSPITAL,2012,90,8
KAVIMBA H.POST,2012,90,2
KACHIKAU H.POST,2012,90,8
KASANE H.POST,2012,90,6
PLATEAU H.POST,2012,90,17
KASANE PRIMARY HOSPITAL,2012,91,1
KAVIMBA H.POST,2012,91,4
KACHIKAU H.POST,2012,91,2
KASANE H.POST,2012,91,4
PLATEAU H.POST,2012,91,7
KAZUNGULA H.POST,2012,91,5
KAZUNGULA BDF H.POST,2012,91,0
KASANE PRIMARY HOSPITAL,2012,92,3
KACHIKAU H.POST,2012,92,0
KAVIMBA H.POST,2012,92,0
CHOBE MEDICAL CENTRE,2012,92,1
KAZUNGULA H.POST,2012,92,4
KASANE H.POST,2012,92,6
PLATEAU H.POST,2012,92,7
PLATEAU H.POST,2012,93,0
KASANE PRIMARY HOSPITAL,2012,93,17
KAVIMBA H.POST,2012,93,3
KASANE H.POST,2012,93,1
KAZUNGULA H.POST,2012,93,11
CHOBE MEDICAL CENTRE,2012,93,1
KACHIKAU H.POST,2012,94,1
CHOBE MEDICAL CENTRE,2012,94,0
PLATEAU H.POST,2012,94,0
KASANE H.POST,2012,94,5
KAZUNGULA H.POST,2012,94,3
KAVIMBA H.POST,2012,94,5
KASANE PRIMARY HOSPITAL,2012,94,1
KAVIMBA H.POST,2012,95,6
CHOBE MEDICAL CENTRE,2012,95,0
KAZUNGULA H.POST,2012,95,5
KASANE H.POST,2012,95,10
PLATEAU H.POST,2012,95,0
KASANE PRIMARY HOSPITAL,2012,95,13
KASANE PRIMARY HOSPITAL,2012,96,12
KASANE H.POST,2012,96,11
KAZUNGULA H.POST,2012,96,4
PLATEAU H.POST,2012,96,3
CHOBE MEDICAL CENTRE,2012,96,1
KAZUNGULA BDF H.POST,2012,96,0
KACHIKAU H.POST,2012,96,4
KAVIMBA H.POST,2012,96,2
PLATEAU H.POST,2012,97,6
CHOBE MEDICAL CENTRE,2012,97,1
KASANE PRIMARY HOSPITAL,2012,97,7
KASANE H.POST,2012,97,3
KAZUNGULA H.POST,2012,97,3
KAVIMBA H.POST,2012,97,2
KACHIKAU H.POST,2012,97,5
KACHIKAU H.POST,2012,98,9
KAZUNGULA H.POST,2012,98,9
KAZUNGULA BDF H.POST,2012,98,0
KASANE PRIMARY HOSPITAL,2012,98,2
PLATEAU H.POST,2012,98,11
KASANE H.POST,2012,98,4
KAVIMBA H.POST,2012,98,2
CHOBE MEDICAL CENTRE,2012,98,1
KAVIMBA H.POST,2012,99,4
KASANE H.POST,2012,99,3
PLATEAU H.POST,2012,99,9
KAZUNGULA H.POST,2012,99,4
KASANE PRIMARY HOSPITAL,2012,99,13
KACHIKAU H.POST,2012,99,0
KAZUNGULA BDF H.POST,2012,99,0
CHOBE MEDICAL CENTRE,2012,99,0
KAZUNGULA BDF H.POST,2012,100,0
PLATEAU H.POST,2012,100,2
KASANE H.POST,2012,100,9
CHOBE MEDICAL CENTRE,2012,100,0
KACHIKAU H.POST,2012,100,4
KAZUNGULA H.POST,2012,100,4
KAVIMBA H.POST,2012,100,5
KASANE PRIMARY HOSPITAL,2012,100,6
KAZUNGULA H.POST,2012,101,2
PLATEAU H.POST,2012,101,0
KACHIKAU H.POST,2012,101,4
KASANE H.POST,2012,101,3
KASANE PRIMARY HOSPITAL,2012,101,4
CHOBE MEDICAL CENTRE,2012,101,0
KAVIMBA H.POST,2012,101,0
KAZUNGULA BDF H.POST,2012,102,0
CHOBE MEDICAL CENTRE,2012,102,0
KAZUNGULA H.POST,2012,102,8
KASANE H.POST,2012,102,4
PLATEAU H.POST,2012,102,8
KAVIMBA H.POST,2012,102,3
KACHIKAU H.POST,2012,102,2
KASANE PRIMARY HOSPITAL,2012,102,7
KAVIMBA H.POST,2012,103,3
PLATEAU H.POST,2012,103,0
KASANE PRIMARY HOSPITAL,2012,103,2
KAZUNGULA H.POST,2012,103,2
KASANE H.POST,2012,103,5
KASANE PRIMARY HOSPITAL,2012,104,7
KAZUNGULA BDF H.POST,2012,104,0
KACHIKAU H.POST,2012,104,0
KAVIMBA H.POST,2012,104,0
KASANE H.POST,2012,104,3
PLATEAU H.POST,2012,104,1
KAZUNGULA H.POST,2012,104,3
KAZUNGULA BDF H.POST,2012,105,0
KAZUNGULA H.POST,2012,105,0
KASANE H.POST,2012,105,0
KACHIKAU H.POST,2012,105,2
PLATEAU H.POST,2012,105,0
KASANE PRIMARY HOSPITAL,2012,105,5
KAVIMBA H.POST,2012,105,0
